MMSI:367017010  Longitude:-74.0012  Latitude:40.7002  Altitude:0  045780F0C8200416AD3FD29749F0C114FF9E00C067DB0D  02-Oct-2016 12:01:20
MMSI:367586920  Longitude:-74.008  Latitude:40.6911  Altitude:0  0457A3B9A3000626AD37E517489B47DD64900302BA6835  02-Oct-2016 12:01:20
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31969749F8E064B1A60082DBE860  02-Oct-2016 12:01:21
MMSI:367017010  Longitude:-74.001  Latitude:40.7005  Altitude:0  045780F0C8200416AD40081749FAF110FFB20083DD0FF9  02-Oct-2016 12:01:29
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31969749F90064B1BE00C0FCDDC5  02-Oct-2016 12:01:32
MMSI:367017010  Longitude:-74.0009  Latitude:40.7007  Altitude:0  045780F0C8200406AD403B974A03C12EFFC400C06DAF39  02-Oct-2016 12:01:38
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31959749F91064B1D00140FD987E  02-Oct-2016 12:01:42
MMSI:367017010  Longitude:-74.0007  Latitude:40.701  Altitude:0  045780F0C82003F6AD407B974A0E312BFFDA00C070382D  02-Oct-2016 12:01:49
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800001EAD31971749F896B8B2620140FDE5CF  02-Oct-2016 12:01:51
MMSI:366952890  Longitude:-74.0133  Latitude:40.7004  Altitude:0  04577D06E800003EAD319D1749F8369AB28000C0FD964E  02-Oct-2016 12:02:02
MMSI:367017010  Longitude:-74.0003  Latitude:40.7014  Altitude:0  045780F0C82003E6AD40E3974A1FB12CFF88014075CD89  02-Oct-2016 12:02:08
MMSI:367586920  Longitude:-74.0092  Latitude:40.689  Altitude:0  0457A3B9A3000626AD368217484BB80669F402C0FB4B4B  02-Oct-2016 12:02:10
MMSI:367017010  Longitude:-74.0001  Latitude:40.7017  Altitude:0  045780F0C82003D6AD4122974A29B13FFF9E00827576E0  02-Oct-2016 12:02:19
MMSI:367017010  Longitude:-73.9999  Latitude:40.7019  Altitude:0  045780F0C82003B6AD415E174A32814DFFB20060084095  02-Oct-2016 12:02:29
MMSI:367017010  Longitude:-73.9997  Latitude:40.7021  Altitude:0  045780F0C82003C6AD4195174A3A5168FFC400852D9800  02-Oct-2016 12:02:38
MMSI:367586920  Longitude:-74.0101  Latitude:40.6878  Altitude:0  0457A3B9A3000626AD3573174820D83D6BB802859C94D7  02-Oct-2016 12:02:39
MMSI:366952890  Longitude:-74.0133  Latitude:40.6998  Altitude:0  0C577D06E81FC2AEAD31AC9749E256F40A500011E135B9  02-Oct-2016 12:02:41
MMSI:366952890  Longitude:-74.0135  Latitude:40.6993  Altitude:0  0C577D06E81FC29EAD31669749D0F7C6644E000EC0DB5A  02-Oct-2016 12:02:43
MMSI:366952890  Longitude:-74.0133  Latitude:40.6997  Altitude:0  0C577D06E81FC2CEAD31AA1749E066FE0B5400000029FF  02-Oct-2016 12:02:45
MMSI:366952890  Longitude:-74.0136  Latitude:40.6992  Altitude:0  0C577D06E81FC30EAD31489749CBA7EE67DC0000002555  02-Oct-2016 12:02:48
MMSI:367017010  Longitude:-73.9995  Latitude:40.7024  Altitude:0  045780F0C82003D6AD41DC174A43C175FFDA0086DB8247  02-Oct-2016 12:02:49
MMSI:366952890  Longitude:-74.014  Latitude:40.6988  Altitude:0  0C577D06E81FC3EEAD30E29749BE58666E80000B304DA4  02-Oct-2016 12:03:03
MMSI:366952890  Longitude:-74.0143  Latitude:40.6986  Altitude:0  0C577D06E81FC46EAD30879749B5D8AC721200106066CE  02-Oct-2016 12:03:11
MMSI:366952890  Longitude:-74.0145  Latitude:40.6984  Altitude:0  0C577D06E81FC4EEAD30341749AF38D47420000000C816  02-Oct-2016 12:03:18
MMSI:367586920  Longitude:-74.0114  Latitude:40.6864  Altitude:0  0457A3B9A3000616AD33D99747EA688D71100282BA225C  02-Oct-2016 12:03:20
MMSI:366952890  Longitude:-74.0147  Latitude:40.6983  Altitude:0  0C577D06E81FC52EAD2FFE9749AB88F27528000B00B83D  02-Oct-2016 12:03:22
MMSI:366952890  Longitude:-74.0149  Latitude:40.6983  Altitude:0  0C577D06E81FC56EAD2FD31749A898FC75AE000CF18442  02-Oct-2016 12:03:26
MMSI:366952890  Longitude:-74.015  Latitude:40.6982  Altitude:0  0C577D06E81FC58EAD2FB51749A6A9067632000000DC43  02-Oct-2016 12:03:27
MMSI:367686740  Longitude:-74.0052  Latitude:40.7005  Altitude:0  4857A9D150008CEAD3B2E1749FDE8F5FFB25DE0006D0B8  02-Oct-2016 12:03:27
MMSI:367586920  Longitude:-74.0118  Latitude:40.686  Altitude:0  0457A3B9A3000616AD33609747DD88AF7224024AD00181  02-Oct-2016 12:03:29
MMSI:366629680  Longitude:-73.9959  Latitude:40.7049  Altitude:0  0457694CC0200106AD4604974AA26B08FFC808C13773C3  02-Oct-2016 12:03:37
MMSI:366952890  Longitude:-74.0156  Latitude:40.6979  Altitude:0  0C577D06E81FC64EAD2EFF17499C094278C80000004EF7  02-Oct-2016 12:03:38
